Trade ID,Status,Buy Time,Buy Price,Sell Target,Sell Time,Order Size (USDT),Portfolio Value at Buy,Order % of Portfolio,Portfolio Value at Sell,Net P&L,Holding Time
1,CLOSED,2024-01-01 00:00:00+00:00,42283.58,43000.0,2024-01-01 18:07:00+00:00,59.07451518200203,3000.0,1.9691505060667345,3044.0407214872316,0.8808217295032819,0 days 18:07:00
2,CLOSED,2024-01-01 00:00:00+00:00,42283.58,44000.0,2024-01-01 23:28:00+00:00,57.700689247536864,2999.940925484818,1.9233941827775127,3107.9181961427794,2.2222218462769945,0 days 23:28:00
3,CLOSED,2024-01-01 00:00:00+00:00,42283.58,45000.0,2024-01-02 00:57:00+00:00,56.38930994645648,2999.8832247955706,1.8797168329876965,3170.4324556659712,3.5026492304700696,1 days 00:57:00
4,CLOSED,2024-01-01 00:00:00+00:00,42283.58,46000.0,2024-01-08 18:04:00+00:00,55.13621416986856,2999.826835485624,1.8379798966276961,3239.1823328138344,4.726168730921252,7 days 18:04:00
5,CLOSED,2024-01-01 00:00:00+00:00,42283.58,47000.0,2024-01-08 19:11:00+00:00,53.93760081834968,2999.771699271454,1.7980568598420121,3299.0617294261374,5.896491731352796,7 days 19:11:00
6,CLOSED,2024-01-01 00:00:00+00:00,42283.58,48000.0,2024-01-11 14:36:00+00:00,52.789992290299686,2999.717761670636,1.7598319736887282,3365.8703504170658,7.017013753042576,10 days 14:36:00
7,CLOSED,2024-01-01 00:00:00+00:00,42283.58,49000.0,2024-02-12 15:10:00+00:00,51.69020078425178,2999.6649716783454,1.7231991329795255,3440.7447280625543,8.090847357161948,42 days 15:10:00
8,CLOSED,2024-01-01 00:00:00+00:00,42283.58,50000.0,2024-02-12 17:19:00+00:00,50.63529872743031,2999.613281477561,1.6880608923857072,3496.881396799601,9.120851018256047,42 days 17:19:00
9,CLOSED,2024-01-01 00:00:00+00:00,42283.58,51000.0,2024-02-14 09:10:00+00:00,49.6225927528817,2999.5626461788333,1.6543276005952505,3552.8995961695327,10.109654532906383,44 days 09:10:00
10,CLOSED,2024-01-01 00:00:00+00:00,42283.58,52000.0,2024-02-14 14:37:00+00:00,48.64960073811931,2999.5130235860806,1.6219166363197208,3606.6676015141134,11.059681439139055,44 days 14:37:00
11,CLOSED,2024-01-01 00:00:00+00:00,42283.58,53000.0,2024-02-26 16:07:00+00:00,47.71403149315548,2999.4643739853427,1.5907517324421017,3664.4410122923064,11.973168848978155,56 days 16:07:00
