Trade ID,Status,Buy Time,Buy Price,Sell Target,Sell Time,Base Order Size (USDT),BTC Allocation Before Buy,Alpha,Order Size (USDT),Portfolio Value at Buy,Order % of Portfolio,Portfolio Value at Sell,Net P&L,Holding Time
1,CLOSED,2024-01-01 18:09:00+00:00,43000.0,44000.0,2024-01-01 23:28:00+00:00,33.70786516853933,0.0,1.0,33.70786516853933,3000.0,1.1235955056179776,3000.7494120721194,0.7149547948785013,0 days 05:19:00
2,CLOSED,2024-01-01 23:33:00+00:00,44000.0,45000.0,2024-01-02 00:57:00+00:00,33.70786516853933,0.0,1.0,33.70786516853933,3000.7149547948784,1.1233277960866335,3001.4465686866047,0.6971744126659871,0 days 01:24:00
3,CLOSED,2024-01-02 00:58:00+00:00,45000.0,46000.0,2024-01-08 18:04:00+00:00,33.70786516853933,0.0,1.0,33.70786516853933,3001.4121292075447,1.1230668671096207,3006.3748152709118,0.6801842696629166,6 days 17:06:00
4,CLOSED,2024-01-03 11:55:00+00:00,44000.0,45000.0,2024-01-08 12:03:00+00:00,33.70786516853933,0.010972976183475347,0.990672970244046,33.393470907102675,3000.630106735635,1.1128819520987612,3005.6606189251843,0.6906718461739629,5 days 00:08:00
5,CLOSED,2024-01-03 12:01:00+00:00,43000.0,44000.0,2024-01-04 15:16:00+00:00,33.70786516853933,0.021599691007048363,0.9816402626440089,33.088997617213785,2999.0902150798906,1.1033011761645972,3003.486104492084,0.7018284126231222,1 days 03:15:00
6,CLOSED,2024-01-03 12:08:00+00:00,42000.0,43000.0,2024-01-03 15:56:00+00:00,33.70786516853933,0.03188756938683651,0.972895566021189,32.79423256251199,2996.7818858365154,1.0943149622435029,3000.530697628236,0.7136985408127714,0 days 03:48:00
7,CLOSED,2024-01-03 12:09:00+00:00,41000.0,42000.0,2024-01-03 12:15:00+00:00,33.70786516853933,0.04184337537928332,0.9644331309276092,32.508981941380085,2993.693817112244,1.0859153917329687,2997.508691718583,0.7263315325742852,0 days 00:06:00
8,CLOSED,2024-01-03 18:56:00+00:00,42000.0,43000.0,2024-01-03 19:35:00+00:00,33.70786516853933,0.03187225395650076,0.9729085841369743,32.79467137540363,2998.221915909902,1.0938040043460588,3001.244406167714,0.7137080906663797,0 days 00:39:00
9,CLOSED,2024-01-05 01:48:00+00:00,43000.0,44000.0,2024-01-05 09:01:00+00:00,33.70786516853933,0.021579144548120575,0.9816577271340975,33.089586307890926,3001.9457816565664,1.1022712838481403,3004.187945992807,0.7018408989440488,0 days 07:13:00
10,CLOSED,2024-01-08 18:24:00+00:00,46000.0,47000.0,2024-01-08 19:11:00+00:00,33.70786516853933,0.0,1.0,33.70786516853933,3006.3403927990016,1.1212258348814654,3007.0387318317325,0.6639328285295605,0 days 00:47:00
